CitizenID,FirstName,MiddleName,LastName,Gender,BirthDate,MaritalStatus,Nationality,Religion,ContactNumber,EmailAddress,HouseNumber,Street,PurokZone
1000,Karen,Frost,Stewart,Female,1924-06-07,Single,Filipino,Catholic,+633294057568,karen.stewart@example.com,400,Saint Vincent Street,Purok 6
1001,Mathew,Davis,West,Male,1943-01-02,Married,Filipino,Catholic,+636429806742,mathew.west@example.com,374,Angelo Salinas Street,Purok 5
1002,James,Sloan,Andrade,Male,2002-12-01,Single,Filipino,Catholic,+632077198509,james.andrade@example.com,302,Bakakeng North Drive,Purok 8
1003,Brianna,Scott,Carter,Female,1960-09-07,Widowed,Filipino,Catholic,+630345476552,brianna.carter@example.com,441,Lower Bakakeng Road,Purok 2
1004,Anthony,Hunt,Abbott,Male,2005-07-04,Single,Filipino,Catholic,+634921656618,anthony.abbott@example.com,375,Bukid Street,Purok 2
1005,Timothy,Rogers,Velez,Male,1927-12-24,Single,Filipino,Catholic,+639174988153,timothy.velez@example.com,422,Camp 7 Road,Purok 3
1006,Shelby,Stewart,Lee,Female,2019-02-04,Single,Filipino,Christian,+631738175456,shelby.lee@example.com,476,Fr. Carlo Loop,Purok 4
1007,Anne,Alvarez,Wilson,Female,2003-03-22,Single,Filipino,Christian,+638757737660,anne.wilson@example.com,452,Bakakeng Central Road,Purok 1
1008,Jennifer,Huerta,Brown,Female,1938-01-01,Married,Filipino,Christian,+635821008074,jennifer.brown@example.com,97,Bakakeng North Drive,Purok 8
1009,Sarah,Sanchez,Thompson,Female,1939-10-06,Single,Filipino,Catholic,+633102136225,sarah.thompson@example.com,215,Easter Road,Purok 8
1010,Andrew,Hernandez,Davis,Male,1939-09-21,Single,Filipino,Christian,+637680706328,andrew.davis@example.com,398,Bakakeng Road,Purok 1
1011,Brendan,Khan,Jimenez,Male,1925-01-26,Married,Filipino,Catholic,+633832828261,brendan.jimenez@example.com,76,Montinola Subdivision,Purok 8
1012,Desiree,Taylor,Riddle,Female,1955-05-13,Widowed,Filipino,Christian,+632557585746,desiree.riddle@example.com,448,Bakakeng North Drive,Purok 10
1013,Michael,Bernard,Griffin,Male,1943-07-14,Married,Filipino,Christian,+631572351820,michael.griffin@example.com,111,Tuba Road,Purok 9
1014,Angela,Foley,Woods,Female,1961-06-14,Single,Filipino,Christian,+638102811868,angela.woods@example.com,78,Angelo Salinas Street,Purok 1
1015,Jacob,Lynch,Gomez,Male,1984-02-18,Married,Filipino,Catholic,+635289894069,jacob.gomez@example.com,139,Bakakeng Road,Purok 3
1016,Donna,Myers,Paul,Female,1940-08-10,Widowed,Filipino,Christian,+635796746893,donna.paul@example.com,51,Tuba Road,Purok 4
1017,Anthony,Castillo,Fisher,Male,2008-02-16,Married,Filipino,Christian,+632326329321,anthony.fisher@example.com,28,Gibraltar Road,Purok 2
1018,Sarah,Davis,Washington,Female,1960-04-16,Single,Filipino,Christian,+634960968440,sarah.washington@example.com,460,Camp 7 Road,Purok 1
1019,Holly,Wilson,Manning,Female,1972-10-05,Widowed,Filipino,Catholic,+633182633180,holly.manning@example.com,339,Fr. Carlo Loop,Purok 9
1020,Debra,Jones,Kim,Female,1993-11-19,Married,Filipino,Catholic,+637646729183,debra.kim@example.com,288,Lower Bakakeng Road,Purok 6
1021,Corey,Johnson,Higgins,Male,1936-09-04,Married,Filipino,Christian,+635454535707,corey.higgins@example.com,207,Saint Vincent Street,Purok 5
1022,Amy,Williams,Lyons,Female,1988-11-02,Widowed,Filipino,Christian,+633459604425,amy.lyons@example.com,449,Lower Bakakeng Road,Purok 1
1023,Stephen,Wyatt,Ramirez,Male,2018-03-19,Married,Filipino,Catholic,+638121309174,stephen.ramirez@example.com,87,Bakakeng Central Road,Purok 2
1024,Amy,Reed,Boyer,Female,1964-01-29,Single,Filipino,Catholic,+631833683770,amy.boyer@example.com,440,Bukid Street,Purok 9
1025,Robin,Pierce,Pearson,Female,1967-05-14,Widowed,Filipino,Christian,+631233742062,robin.pearson@example.com,31,Green Valley Street,Purok 2
1026,Rachael,Jones,Garcia,Female,1940-06-13,Single,Filipino,Christian,+630955298098,rachael.garcia@example.com,51,Lower Bakakeng Road,Purok 7
1027,April,Love,Copeland,Female,2000-06-04,Single,Filipino,Christian,+637420714976,april.copeland@example.com,440,Saint Vincent Street,Purok 3
1028,Michelle,Delgado,Wilkinson,Female,2004-01-13,Single,Filipino,Christian,+631749573301,michelle.wilkinson@example.com,137,Saint Vincent Street,Purok 7
1029,Theresa,Graham,Pope,Female,2010-05-07,Married,Filipino,Catholic,+639705393545,theresa.pope@example.com,191,Saint Vincent Street,Purok 10
1030,Jason,Miller,Duffy,Male,2001-01-20,Single,Filipino,Catholic,+634265697471,jason.duffy@example.com,309,Mulawin Street,Purok 5
1031,Chad,Cunningham,Dunlap,Male,1966-12-14,Married,Filipino,Christian,+634926575682,chad.dunlap@example.com,317,Saint Vincent Street,Purok 10
1032,Mary,Smith,Mcgrath,Female,2015-03-25,Widowed,Filipino,Christian,+637750546272,mary.mcgrath@example.com,254,Montinola Subdivision,Purok 8
1033,Dustin,Davidson,Monroe,Male,1938-04-27,Married,Filipino,Christian,+632636898859,dustin.monroe@example.com,342,Bakakeng Central Road,Purok 4
1034,Jodi,Lewis,Peterson,Female,1945-08-26,Widowed,Filipino,Christian,+632398277232,jodi.peterson@example.com,351,Camp 7 Road,Purok 10
1035,Denise,Lee,Mcdaniel,Female,1960-11-25,Widowed,Filipino,Catholic,+632088967036,denise.mcdaniel@example.com,232,Angelo Salinas Street,Purok 5
1036,Benjamin,Olsen,Chambers,Male,2009-11-03,Married,Filipino,Catholic,+638194161346,benjamin.chambers@example.com,176,Montinola Subdivision,Purok 4
1037,Anna,Anderson,White,Female,1962-01-22,Widowed,Filipino,Christian,+633596502548,anna.white@example.com,51,Gibraltar Road,Purok 4
